keyword,search_volume,keyword_difficulty,cpc,main_intent,opportunity_score,cluster
adult baseball bag,110,0,0.51,commercial,0.1734,adult_baseball
adult size baseball bat,210,0,0.3,transactional,0.173,adult_baseball
adult wood baseball bats,110,0,0.46,commercial,0.1726,adult_baseball
wooden baseball bat adult,110,0,0.46,commercial,0.1726,adult_baseball
triad adult baseball,140,0,0,informational,0.168,adult_baseball
los angeles adult baseball league,110,0,0,commercial,0.165,adult_baseball
west chester adult baseball league,110,0,0,commercial,0.165,adult_baseball
savannah adult baseball league,50,0,9.23,commercial,0.1442,adult_baseball
adult baseball catchers mitt,170,0,0.52,transactional,0.1431,adult_baseball
baseball bag adult,90,0,0.5,commercial,0.1418,adult_baseball
omaha adult baseball league,90,0,0,commercial,0.135,adult_baseball
orlando adult baseball league,90,0,0,commercial,0.135,adult_baseball
dfw adult baseball,90,0,0,commercial,0.135,adult_baseball
utah adult baseball,110,0,0,informational,0.132,adult_baseball
adult baseball glove size chart,140,0,0.42,transactional,0.1167,adult_baseball
adult baseball camps,50,0,5.41,commercial,0.1156,adult_baseball
adult baseball camp,50,0,5.41,commercial,0.1156,adult_baseball
baseball pants adult small,70,0,0.92,commercial,0.1147,adult_baseball
adult outfield baseball glove,70,0,0.59,commercial,0.1112,adult_baseball
what size glove for adult baseball,70,0,0.54,commercial,0.1107,adult_baseball
bell gardens adult baseball league,70,0,0,commercial,0.105,adult_baseball
orange county adult baseball league,70,0,0,commercial,0.105,adult_baseball
adult baseball league orange county,70,0,0,commercial,0.105,adult_baseball
adult baseball league orlando,70,0,0,commercial,0.105,adult_baseball
utah adult baseball league,70,0,0,commercial,0.105,adult_baseball
adult league baseball near me,70,1,0,commercial,0.104,adult_baseball
adult baseball tryouts,50,1,3.35,commercial,0.0991,adult_baseball
adult baseball league florida,70,0,1.61,informational,0.0975,adult_baseball
florida adult baseball league,70,0,1.43,informational,0.096,adult_baseball
adult baseball jerseys,50,0,2.58,commercial,0.0944,adult_baseball
adult wooden baseball bat,110,0,0.46,transactional,0.092,adult_baseball
adult wood baseball bat,110,0,0.46,transactional,0.092,adult_baseball
adult baseball uniform,50,5,2.58,commercial,0.0896,adult_baseball
triad adult baseball league,70,0,0,informational,0.084,adult_baseball
las vegas adult baseball league,50,4,4.43,informational,0.0831,adult_baseball
white baseball pants adult,50,0,0.82,commercial,0.0812,adult_baseball
adult baseball belt,50,0,0.75,commercial,0.0806,adult_baseball
baseball belt adult,50,0,0.75,commercial,0.0806,adult_baseball
baseball belts adult,50,0,0.75,commercial,0.0806,adult_baseball
adult baseball training,50,8,1.45,commercial,0.079,adult_baseball
adult baseball near me,90,0,0.92,transactional,0.0786,adult_baseball
used adult baseball glove,50,0,0.45,commercial,0.0784,adult_baseball
difference between youth and adult baseball gloves,50,0,0.45,commercial,0.0784,adult_baseball
adult baseball glove used,50,0,0.37,commercial,0.0778,adult_baseball
central oregon adult baseball,70,8,0,informational,0.0773,adult_baseball
what size baseball glove for adult male,50,1,0.28,commercial,0.0763,adult_baseball
nyc adult baseball league,50,0,0,commercial,0.075,adult_baseball
adult baseball leagues nyc,50,0,0,commercial,0.075,adult_baseball
adult baseball leagues new york,50,0,0,commercial,0.075,adult_baseball
shenandoah valley adult baseball league,50,0,0,commercial,0.075,adult_baseball
tri cities adult baseball league,50,0,0,commercial,0.075,adult_baseball
long beach adult baseball,50,0,0,commercial,0.075,adult_baseball
adult baseball league nyc,50,0,0,commercial,0.075,adult_baseball
indiana adult baseball league,50,0,0,commercial,0.075,adult_baseball
bakersfield adult baseball league,50,0,0,commercial,0.075,adult_baseball
adult baseball fantasy camp,50,0,0,commercial,0.075,adult_baseball
hudson valley adult baseball,50,1,0,commercial,0.0743,adult_baseball
men's adult baseball league near me,50,6,2.91,informational,0.0728,adult_baseball
pittsburgh adult baseball league,50,4,0,commercial,0.072,adult_baseball
san jose adult baseball league,40,0,1.98,commercial,0.0719,adult_baseball
adult baseball lessons,40,0,1.65,commercial,0.0699,adult_baseball
adult rec baseball leagues near me,50,0,1.64,informational,0.0698,adult_baseball
baseball player costume adult,40,0,1.07,commercial,0.0664,adult_baseball
adult baseball player costume,40,0,0.8,commercial,0.0648,adult_baseball
adult baseball crocs,40,0,0.68,commercial,0.0641,adult_baseball
adult small baseball pants,70,0,1.17,transactional,0.0626,adult_baseball
baseball adult leagues near me,90,8,15.08,navigational,0.0623,adult_baseball
maui adult baseball league,50,19,0,commercial,0.0608,adult_baseball
adult baseball batting gloves,70,0,0.8,transactional,0.0605,adult_baseball
baseball batting gloves adult,70,0,0.8,transactional,0.0605,adult_baseball
adult baseball tournaments,50,0,0,informational,0.06,adult_baseball
nyc adult baseball leagues,50,0,0,informational,0.06,adult_baseball
southern california adult baseball league,40,0,0,commercial,0.06,adult_baseball
adult baseball leagues chicago,40,0,0,commercial,0.06,adult_baseball
red river adult baseball league,40,0,0,commercial,0.06,adult_baseball
adult baseball teams near me,40,0,0,commercial,0.06,adult_baseball
dodgers adult baseball camp,40,0,0,commercial,0.06,adult_baseball
chicago adult baseball league,40,0,0,commercial,0.06,adult_baseball
adult baseball league chicago,40,0,0,commercial,0.06,adult_baseball
hudson valley adult baseball league,40,0,0,commercial,0.06,adult_baseball
middle tennessee adult baseball,40,0,0,commercial,0.06,adult_baseball
tampa adult baseball league,40,2,0,commercial,0.0588,adult_baseball
adult baseball chest protector,70,0,0.46,transactional,0.0586,adult_baseball
baseball chest protector adult,70,0,0.46,transactional,0.0586,adult_baseball
houston adult baseball league,40,3,0,commercial,0.0582,adult_baseball
san antonio adult baseball league,40,3,0,commercial,0.0582,adult_baseball
adult baseball gloves near me,70,0,0.36,transactional,0.058,adult_baseball
adult baseball glove near me,70,0,0.29,transactional,0.0576,adult_baseball
adult baseball league tampa,40,4,0,commercial,0.0576,adult_baseball
adult baseball league sacramento,40,6,0,commercial,0.0564,adult_baseball
adult baseball tournaments 2025,40,7,0,commercial,0.0558,adult_baseball
adult men's baseball league near me,40,9,2.19,informational,0.0532,adult_baseball
houston adult baseball leagues,40,15,0,commercial,0.051,adult_baseball
adult baseball jersey,50,0,2.58,transactional,0.0503,adult_baseball
hoosier adult baseball,40,0,0,informational,0.048,adult_baseball
nj adult baseball league,40,2,0,informational,0.047,adult_baseball
adult baseball leagues houston,40,3,0,informational,0.0466,adult_baseball
adult baseball teams,40,4,0,informational,0.0461,adult_baseball
adult rec baseball,40,6,0,informational,0.0451,adult_baseball
black baseball pants adult,50,0,0.98,transactional,0.0439,adult_baseball
adult black baseball pants,50,0,0.98,transactional,0.0439,adult_baseball
adult recreational baseball,40,9,0,informational,0.0437,adult_baseball
adult white baseball pants,50,0,0.82,transactional,0.0433,adult_baseball
adult baseball tee,50,0,0.77,transactional,0.0431,adult_baseball
adult baseball shirt,50,0,0.72,transactional,0.0429,adult_baseball
adult baseball helmet with jaw guard,50,0,0.54,transactional,0.0422,adult_baseball
used adult baseball gloves,50,0,0.45,transactional,0.0418,adult_baseball
adult baseball glove walmart,50,0,0.11,transactional,0.0404,adult_baseball
adult baseball leagues in los angeles,110,0,1.7,navigational,0.0386,adult_baseball
baseball crocs adult,40,0,0.81,transactional,0.0346,adult_baseball
adult baseball pants near me,40,0,0.53,transactional,0.0337,adult_baseball
mizuno adult baseball glove,40,0,0.47,transactional,0.0335,adult_baseball
disney baseball cap adult,40,0,0.35,transactional,0.0331,adult_baseball
baseball adult leagues,70,10,4.57,navigational,0.0275,adult_baseball
las vegas adult baseball leagues,50,0,4.43,navigational,0.0216,adult_baseball
southwest adult baseball league,70,0,0,navigational,0.021,adult_baseball
southern virginia adult baseball league,70,0,0,navigational,0.021,adult_baseball
baseball adult league,70,12,0.73,navigational,0.0198,adult_baseball
baseball adult league near me,70,9,0.37,navigational,0.0198,adult_baseball
local adult baseball leagues,70,7,0,navigational,0.0195,adult_baseball
dfw adult baseball association,50,0,0,navigational,0.015,adult_baseball
adult baseball leagues new jersey,40,2,0,navigational,0.0118,adult_baseball
